foot cop
0132,0102
0136,0112
0142,0112
0148,0115
0169,0117
0178,0090
0184,0121
0184,0121
0187,0087
0190,0087
0190,0121
0193,0124
0199,0124
0200,0087
0200,0087
0202,0087
0208,0084
0214,0124
0238,0081
0244,0081
0250,0081
0266,0078
0499,0223
0517,0227
0526,0224
0532,0224
0547,0166
0565,0220
0574,0215
0577,0215
0580,0215
0581,0215
0583,0215
0590,0215
0593,0175
0608,0175
0617,0175
0620,0181
0626,0181
0629,0203
0653,0181
0656,0181
0662,0181
0665,0181
0669,0178
0693,0175
0886,0093
0896,0093
0902,0093
0905,0093
0917,0093
0941,0096
0941,0099
0950,0099
0953,0099
0962,0099
0995,0112
0998,0115
1008,0115
1047,0103
1050,0103
1050,0103
1059,0103
1062,0103
1065,0103
1104,0099
1111,0096
1129,0096
1292,0166
1298,0166
1301,0166
1311,0166
1338,0160
1353,0160
1353,0160
1355,0160
1358,0160
1358,0160
1359,0160
1365,0157
1401,0175
1407,0145
1440,0193
1464,0196
1467,0199
1474,0202
1495,0215
1495,0215
1495,0218
1498,0218
1501,0221
1501,0226
